p1,p2,arena
Mika Mikli,Baek Changpo,Arena-1
Baek Changpo,Cuilan,Arena-2
Cuilan,Fabian the Fastman,Arena-3
Fabian the Fastman,Sakurako Sanjo,Arena-4
Sakurako Sanjo,Lili Levinas,Arena-5
Lili Levinas,Ernula,Arena-6
Ernula,Karel Werfel,Arena-7
Karel Werfel,Mika Mikli,Arena-8
