leg,cart_offset,length,dest,mode,above_16m
char-baek,0x03239800,0x9800,0x0de573e0,DMA,1
char-cuilan,0x0323e000,0x9800,0x0de73be0,DMA,1
char-baek,0x03243000,0x9800,0x0de60be0,DMA,1
char-cuilan,0x03247800,0x9800,0x0de7d3e0,DMA,1
char-baek,0x0324c800,0x9800,0x0de6a3e0,DMA,1
char-cuilan,0x03251000,0x4800,0x0de86be0,DMA,1
char-cuilan,0x03255800,0x9800,0x0de4dbe0,DMA,1
char-baek,0x03256000,0x9800,0x0de73be0,DMA,1
char-cuilan,0x0325f000,0x9800,0x0de573e0,DMA,1
char-baek,0x0325f800,0x9800,0x0de7d3e0,DMA,1
char-cuilan,0x03268800,0x9800,0x0de60be0,DMA,1
char-baek,0x03269000,0x4800,0x0de86be0,DMA,1
char-baek,0x0326d800,0x9800,0x0de4dbe0,DMA,1
char-cuilan,0x03272000,0x9800,0x0de6a3e0,DMA,1
char-baek,0x03277000,0x9800,0x0de573e0,DMA,1
char-cuilan,0x0327b800,0x9800,0x0de73be0,DMA,1
char-baek,0x03280800,0x9800,0x0de60be0,DMA,1
char-cuilan,0x03285000,0x9800,0x0de7d3e0,DMA,1
char-baek,0x0328a000,0x9800,0x0de6a3e0,DMA,1
char-cuilan,0x0328e800,0x4800,0x0de86be0,DMA,1
char-cuilan,0x03293000,0x9800,0x0de4dbe0,DMA,1
char-baek,0x03293800,0x9800,0x0de73be0,DMA,1
char-cuilan,0x0329c800,0x9800,0x0de573e0,DMA,1
char-baek,0x0329d000,0x9800,0x0de7d3e0,DMA,1
char-cuilan,0x032a6000,0x9800,0x0de60be0,DMA,1
char-baek,0x032a6800,0x4800,0x0de86be0,DMA,1
char-baek,0x032ab000,0x9800,0x0de4dbe0,DMA,1
char-cuilan,0x032af800,0x9800,0x0de6a3e0,DMA,1
char-baek,0x032b4800,0x9800,0x0de573e0,DMA,1
char-cuilan,0x032b9000,0x9800,0x0de73be0,DMA,1
char-baek,0x032be000,0x9800,0x0de60be0,DMA,1
char-cuilan,0x032c2800,0x9800,0x0de7d3e0,DMA,1
char-baek,0x032c7800,0x9800,0x0de6a3e0,DMA,1
char-cuilan,0x032cc000,0x4800,0x0de86be0,DMA,1
char-cuilan,0x032d0800,0x9800,0x0de4dbe0,DMA,1
char-baek,0x032d1000,0x9800,0x0de73be0,DMA,1
char-cuilan,0x032da000,0x9800,0x0de573e0,DMA,1
char-baek,0x032da800,0x9800,0x0de7d3e0,DMA,1
char-cuilan,0x032e3800,0x9800,0x0de60be0,DMA,1
char-baek,0x032e4000,0x4800,0x0de86be0,DMA,1
char-baek,0x032e8800,0x9800,0x0de4dbe0,DMA,1
char-cuilan,0x032ed000,0x9800,0x0de6a3e0,DMA,1
char-baek,0x032f2000,0x9800,0x0de573e0,DMA,1
char-cuilan,0x032f6800,0x9800,0x0de73be0,DMA,1
char-baek,0x032fb800,0x9800,0x0de60be0,DMA,1
char-cuilan,0x03300000,0x9800,0x0de7d3e0,DMA,1
char-baek,0x03305000,0x9800,0x0de6a3e0,DMA,1
char-cuilan,0x03309800,0x4800,0x0de86be0,DMA,1
char-cuilan,0x0330e000,0x9800,0x0de4dbe0,DMA,1
char-baek,0x0330e800,0x9800,0x0de73be0,DMA,1
char-cuilan,0x03317800,0x9800,0x0de573e0,DMA,1
char-baek,0x03318000,0x9800,0x0de7d3e0,DMA,1
char-cuilan,0x03321000,0x9800,0x0de60be0,DMA,1
char-baek,0x03321800,0x4800,0x0de86be0,DMA,1
char-baek,0x03326000,0x9800,0x0de4dbe0,DMA,1
char-cuilan,0x0332a800,0x9800,0x0de6a3e0,DMA,1
char-baek,0x0332f800,0x9800,0x0de573e0,DMA,1
char-cuilan,0x03334000,0x9800,0x0de73be0,DMA,1
char-baek,0x03339000,0x9800,0x0de60be0,DMA,1
char-cuilan,0x0333d800,0x9800,0x0de7d3e0,DMA,1
char-baek,0x03342800,0x9800,0x0de6a3e0,DMA,1
char-cuilan,0x03347000,0x4800,0x0de86be0,DMA,1
char-cuilan,0x0334b800,0x9800,0x0de4dbe0,DMA,1
char-baek,0x0334c000,0x9800,0x0de73be0,DMA,1
char-cuilan,0x03355000,0x9800,0x0de573e0,DMA,1
char-baek,0x03355800,0x9800,0x0de7d3e0,DMA,1
char-cuilan,0x0335e800,0x9800,0x0de60be0,DMA,1
char-baek,0x0335f000,0x4800,0x0de86be0,DMA,1
char-baek,0x03363800,0x9800,0x0de4dbe0,DMA,1
char-cuilan,0x03368000,0x9800,0x0de6a3e0,DMA,1
char-baek,0x0336d000,0x9800,0x0de573e0,DMA,1
char-cuilan,0x03371800,0x9800,0x0de73be0,DMA,1
char-baek,0x03376800,0x9800,0x0de60be0,DMA,1
char-cuilan,0x0337b000,0x9800,0x0de7d3e0,DMA,1
char-baek,0x03380000,0x9800,0x0de6a3e0,DMA,1
char-cuilan,0x03384800,0x4800,0x0de86be0,DMA,1
char-cuilan,0x03389000,0x9800,0x0de4dbe0,DMA,1
char-baek,0x03389800,0x9800,0x0de73be0,DMA,1
char-cuilan,0x03392800,0x9800,0x0de573e0,DMA,1
char-baek,0x03393000,0x9800,0x0de7d3e0,DMA,1
char-cuilan,0x0339c000,0x9800,0x0de60be0,DMA,1
char-baek,0x0339c800,0x4800,0x0de86be0,DMA,1
char-baek,0x033a1000,0x9800,0x0de4dbe0,DMA,1
